PalmID,#SampleID,Sample_Name,ESPECIE,ESTADIO,Age_Group,New_Age_Group,SEXO,PROCEDENCIA,HABITAT,Region,FirstBM,TypeBM,HumanBM,MammalBM,BirdBM,ReptileBM,NumberBM,SecondBM,ThirdBM,FourthBM,FifthBM,TotalBM,PCR_RESULTS_121_122,SingleInf_Tcruzi,PCR_RESULTS_duplex_Trangeli,R1_R2_Results_1stRun,R1_R2_GelDate_1stRun,R1_R2_Results_2ndRun,R1_R2_GelDate_2ndRun,Consensus_R1R2_Results,SingleInf_Trangeli,PCR_RESULTS_duplex_Tcruzi,Coinfection,Infection_Type,Location...2,Town,Sampling Dates,Stipe Height (m),Total Height (m),DOM,Lianas,Epiphytes,Surrounding Canopy Cover,# Connected Trees,Fruiting,Fruiting Sex,Photo?,Habitat_Microhabitat,Method,Location...17
CHOR1P2,G8.P2,181,R. pallescens,N2,N1_N3,N1_N2,NA,La Chorrera,Pasture,La Chorrera,Other,Mix,No,Yes,Yes,No,Three,Mus,Thraupis,NA,NA,NA,Negative,Negative,Negative,NA,NA,NA,NA,NA,Negative,Negative,No,Negative,N 08 50.762 W 079 56.262,La Chorrera,24-27 June  2017,3.468,4.45,3,1,>10,1%,0,y,F,yes,Pasture,Noireau,La Chorrera
CHOR1P2,G9.P2,182,R. pallescens,N1,N1_N3,N1_N2,NA,La Chorrera,Pasture,La Chorrera,Mus,Mix,No,Yes,Yes,No,Three,Thraupis,Odocoileus,NA,NA,NA,Negative,Negative,Negative,NA,NA,NA,NA,NA,Negative,Negative,No,Negative,N 08 50.762 W 079 56.262,La Chorrera,24-27 June  2017,3.468,4.45,3,1,>10,1%,0,y,F,yes,Pasture,Noireau,La Chorrera
CHOR1P3,F4.P2,165,R. pallescens,N3,N1_N3,N3_Adult,NA,La Chorrera,Pasture,La Chorrera,Philander,Mammal,No,Yes,No,No,One,NA,NA,NA,NA,NA,Positive,Positive,Negative,NA,NA,NA,NA,NA,Negative,Negative,No,Tcruzi,N 08 50.760 W 079 56.269,La Chorrera,24-27 June  2017,3.668,4.26,3,NA,NA,20%,2,y,M,yes,Pasture,Noireau,La Chorrera
CHOR1P3,F5.P2,166,R. pallescens,N3,N1_N3,N3_Adult,NA,La Chorrera,Pasture,La Chorrera,Other,Reptile,No,No,No,Yes,Three,Lepidodactylus,Philander,NA,NA,NA,Positive,Positive,Negative,NA,NA,NA,NA,NA,Negative,Negative,No,Tcruzi,N 08 50.760 W 079 56.269,La Chorrera,24-27 June  2017,3.668,4.26,3,NA,NA,20%,2,y,M,yes,Pasture,Noireau,La Chorrera
CHOR1P3,F6.P2,167,R. pallescens,N1,N1_N3,N1_N2,NA,La Chorrera,Pasture,La Chorrera,Philander,Mammal,No,Yes,No,No,One,NA,NA,NA,NA,NA,Negative,Negative,Negative,NA,NA,NA,NA,NA,Negative,Negative,No,Negative,N 08 50.760 W 079 56.269,La Chorrera,24-27 June  2017,3.668,4.26,3,NA,NA,20%,2,y,M,yes,Pasture,Noireau,La Chorrera
CHOR1P3,F7.P2,168,R. pallescens,N2,N1_N3,N1_N2,NA,La Chorrera,Pasture,La Chorrera,Other,Mammal,No,Yes,No,No,Two,Philander,NA,NA,NA,NA,Negative,Negative,Negative,NA,NA,NA,NA,NA,Negative,Negative,No,Negative,N 08 50.760 W 079 56.269,La Chorrera,24-27 June  2017,3.668,4.26,3,NA,NA,20%,2,y,M,yes,Pasture,Noireau,La Chorrera
CHOR1P3,F8.P2,169,R. pallescens,N1,N1_N3,N1_N2,NA,La Chorrera,Pasture,La Chorrera,Philander,Mammal,No,Yes,No,No,One,NA,NA,NA,NA,NA,Negative,Negative,Negative,NA,NA,NA,NA,NA,Negative,Negative,No,Negative,N 08 50.760 W 079 56.269,La Chorrera,24-27 June  2017,3.668,4.26,3,NA,NA,20%,2,y,M,yes,Pasture,Noireau,La Chorrera
CHOR1P3,F9.P2,170,R. pallescens,N1,N1_N3,N1_N2,NA,La Chorrera,Pasture,La Chorrera,Philander,Mammal,Yes,Yes,No,No,Two,Human,NA,NA,NA,NA,Negative,Negative,Negative,NA,NA,NA,NA,NA,Negative,Negative,No,Negative,N 08 50.760 W 079 56.269,La Chorrera,24-27 June  2017,3.668,4.26,3,NA,NA,20%,2,y,M,yes,Pasture,Noireau,La Chorrera
CHOR1P3,E8.P2,157,R. pallescens,N1,N1_N3,N1_N2,NA,La Chorrera,Pasture,La Chorrera,Philander,Mammal,Yes,Yes,No,No,Two,Human,NA,NA,NA,NA,Negative,Negative,Negative,NA,NA,NA,NA,NA,Negative,Negative,No,Negative,N 08 50.760 W 079 56.269,La Chorrera,24-27 June  2017,3.668,4.26,3,NA,NA,20%,2,y,M,yes,Pasture,Noireau,La Chorrera
CHOR1P3,D8.P2,144,R. pallescens,N2,N1_N3,N1_N2,NA,La Chorrera,Pasture,La Chorrera,Philander,Mammal,No,Yes,No,No,Two,Other,NA,NA,NA,NA,Negative,Negative,Negative,NA,NA,NA,NA,NA,Negative,Negative,No,Negative,N 08 50.760 W 079 56.269,La Chorrera,24-27 June  2017,3.668,4.26,3,NA,NA,20%,2,y,M,yes,Pasture,Noireau,La Chorrera
