Sample_Name	HABITAT	Region	AllBM_Order	AllBM_Genus	AllBM_Family	Type
371	Pasture	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
372	Pasture	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
373	Pasture	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
375	Pasture	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
376	Pasture	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
377	Pasture	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
378	Pasture	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
379	Pasture	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
381.5	Pasture	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
304	Peridomestic	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
389	Peridomestic	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
393	Peridomestic	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
395	Peridomestic	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
396	Peridomestic	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
399	Peridomestic	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
400	Peridomestic	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
401	Peridomestic	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
403	Peridomestic	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
405	Peridomestic	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
406	Peridomestic	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
260	Forest	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
262	Forest	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
407	Forest	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
415	Forest	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
418	Forest	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
422	Forest	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
408	Forest	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
410	Forest	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
237	Pasture	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
242	Pasture	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
243	Pasture	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
348	Pasture	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
381	Pasture	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
256	Pasture	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
258	Pasture	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
