Sample_Name	HABITAT	Region	AllBM_Family	AllBM_Order	AllBM_Genus	Type
8	Pasture	La Chorrera	Other	Other	Other	Other
10	Pasture	La Chorrera	Other	Other	Other	Other
22	Pasture	Capira	Other	Other	Other	Other
24	Pasture	Capira	Other	Other	Other	Other
36	Pasture	Capira	Other	Other	Other	Other
48	Pasture	Capira	Other	Other	Other	Other
49	Pasture	Capira	Other	Other	Other	Other
50	Pasture	Capira	Other	Other	Other	Other
52	Pasture	Capira	Other	Other	Other	Other
53	Pasture	Capira	Other	Other	Other	Other
54	Pasture	Capira	Other	Other	Other	Other
55	Pasture	Capira	Other	Other	Other	Other
56	Pasture	Capira	Other	Other	Other	Other
58	Pasture	Capira	Other	Other	Other	Other
60	Pasture	Capira	Other	Other	Other	Other
61	Pasture	Capira	Other	Other	Other	Other
62	Pasture	Capira	Other	Other	Other	Other
64	Pasture	Capira	Other	Other	Other	Other
68	Pasture	Capira	Other	Other	Other	Other
69	Pasture	Capira	Other	Other	Other	Other
70	Pasture	Capira	Other	Other	Other	Other
71	Pasture	Capira	Other	Other	Other	Other
72	Pasture	Capira	Other	Other	Other	Other
73	Pasture	Capira	Other	Other	Other	Other
74	Peridomestic	La Chorrera	Other	Other	Other	Other
84	Peridomestic	La Chorrera	Other	Other	Other	Other
86	Peridomestic	La Chorrera	Other	Other	Other	Other
96	Peridomestic	La Chorrera	Other	Other	Other	Other
98	Peridomestic	La Chorrera	Other	Other	Other	Other
99	Peridomestic	La Chorrera	Other	Other	Other	Other
125	Peridomestic	La Chorrera	Other	Other	Other	Other
144	Pasture	La Chorrera	Other	Other	Other	Other
150	Pasture	La Chorrera	Other	Other	Other	Other
153	Pasture	La Chorrera	Other	Other	Other	Other
166	Pasture	La Chorrera	Other	Other	Other	Other
168	Pasture	La Chorrera	Other	Other	Other	Other
171	Pasture	La Chorrera	Other	Other	Other	Other
172	Pasture	La Chorrera	Other	Other	Other	Other
173	Pasture	La Chorrera	Other	Other	Other	Other
174	Pasture	La Chorrera	Other	Other	Other	Other
175	Pasture	La Chorrera	Other	Other	Other	Other
178	Pasture	La Chorrera	Other	Other	Other	Other
180	Pasture	La Chorrera	Other	Other	Other	Other
181	Pasture	La Chorrera	Other	Other	Other	Other
185	Pasture	La Chorrera	Other	Other	Other	Other
221	Pasture	Veraguas	Other	Other	Other	Other
267	Forest	Veraguas	Other	Other	Other	Other
342	Pasture	Veraguas	Other	Other	Other	Other
347	Pasture	Veraguas	Other	Other	Other	Other
361	Pasture	Veraguas	Other	Other	Other	Other
362	Pasture	Veraguas	Other	Other	Other	Other
371	Pasture	Veraguas	Other	Other	Other	Other
401	Peridomestic	Veraguas	Other	Other	Other	Other
403	Peridomestic	Veraguas	Other	Other	Other	Other
1	Pasture	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
32	Pasture	Capira	Didelphidae	Didelphimorphia	Philander	Mammal
34	Pasture	Capira	Didelphidae	Didelphimorphia	Philander	Mammal
35	Pasture	Capira	Didelphidae	Didelphimorphia	Philander	Mammal
37	Pasture	Capira	Didelphidae	Didelphimorphia	Philander	Mammal
39	Pasture	Capira	Didelphidae	Didelphimorphia	Philander	Mammal
41	Pasture	Capira	Didelphidae	Didelphimorphia	Philander	Mammal
42	Pasture	Capira	Didelphidae	Didelphimorphia	Philander	Mammal
43	Pasture	Capira	Didelphidae	Didelphimorphia	Philander	Mammal
44	Pasture	Capira	Didelphidae	Didelphimorphia	Philander	Mammal
45	Peridomestic	Capira	Didelphidae	Didelphimorphia	Philander	Mammal
47	Pasture	Capira	Didelphidae	Didelphimorphia	Philander	Mammal
48	Pasture	Capira	Didelphidae	Didelphimorphia	Philander	Mammal
49	Pasture	Capira	Didelphidae	Didelphimorphia	Philander	Mammal
50	Pasture	Capira	Didelphidae	Didelphimorphia	Philander	Mammal
51	Pasture	Capira	Didelphidae	Didelphimorphia	Philander	Mammal
52	Pasture	Capira	Didelphidae	Didelphimorphia	Philander	Mammal
66	Pasture	Capira	Didelphidae	Didelphimorphia	Philander	Mammal
71	Pasture	Capira	Didelphidae	Didelphimorphia	Philander	Mammal
72	Pasture	Capira	Didelphidae	Didelphimorphia	Philander	Mammal
75	Peridomestic	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
77	Peridomestic	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
78	Peridomestic	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
79	Peridomestic	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
80	Peridomestic	La Chorrera	Didelphidae	Didelphimorphia	Philander	Mammal
