id,PalmID,ESTADIO,Age_Group,New_Age_Group,SEXO,PROCEDENCIA,Habitat,Region,TypeBM,HumanBM,MammalBM,BirdBM,ReptileBM,NumberBM,TypeBM_Updated,FirstBM,SecondBM,ThirdBM,FourthBM,FifthBM,PCR_RESULTS_121_122,SingleInf_Tcruzi,PCR_RESULTS_duplex_Trangeli,R1_R2_Results_1stRun,R1_R2_GelDate_1stRun,R1_R2_Results_2ndRun,R1_R2_GelDate_2ndRun,SingleInf_Trangeli,PCR_RESULTS_duplex_Tcruzi,Coinfection,Infection_Type,faith_pd
B1.P1,CC3,N1,N1_N3,N1_N2,NA,Cerro Cama,Pasture,La Chorrera,Mammal,Yes,Yes,No,No,One,Human,Human,NA,NA,NA,NA,Negative,Negative,Negative,Negative,May-25-2022,,,Negative,Negative,No,Negative,10.99792916
B1.P2,HN9,N3,N1_N3,N3_Adult,NA,La Chorrera,Peridomestic,La Chorrera,Mix,No,Yes,Yes,No,Two,Bird,Turdus,Philander,NA,NA,NA,Negative,Negative,Negative,,,,,Negative,Negative,No,Negative,6.822727117
B1.P3,SF9,Adult,N4_Adult,N3_Adult,TBD,Veraguas,Pasture,Veraguas,Mammal,No,Yes,No,No,One,Mammal,Didelphis,NA,NA,NA,NA,Positive,Positive,Positive,,,,,NA,Negative,Yes,Coinfection,18.64618828
B1.P4,SF15,N2,N1_N3,N1_N2,NA,Veraguas,Forest,Veraguas,Mammal,Yes,Yes,No,No,Four,Mammal,Heteromys,Human,Metachirus,Didelphis,NA,Negative,Negative,Negative,,,,,NA,Negative,No,Negative,12.74309688
B10.P1,CA1P17,Adult,N4_Adult,N3_Adult,Female,Capira,Pasture,Capira,Mammal,No,Yes,No,No,Two,Mus,Mus,Other,NA,NA,NA,Negative,Negative,Negative,Negative,May-25-2022,,,Negative,Negative,No,Negative,16.87094199
B10.P2,HN9,N2,N1_N3,N1_N2,NA,La Chorrera,Peridomestic,La Chorrera,Mix,No,Yes,Yes,No,Two,Mammal,Philander,Turdus,NA,NA,NA,Positive,Negative,Negative,,,,,Negative,Negative,No,Tcruzi,8.815906406
B11.P1,CA1P17,N3,N1_N3,N3_Adult,NA,Capira,Pasture,Capira,Mammal,Yes,Yes,No,No,Two,Human,Human,Mus,NA,NA,NA,Positive,Positive,Negative,Negative,May-25-2022,,,Negative,Positive,No,Tcruzi,5.416322057
B11.P2,HN9,N2,N1_N3,N1_N2,NA,La Chorrera,Peridomestic,La Chorrera,Mammal,No,Yes,No,No,One,Mammal,Philander,NA,NA,NA,NA,Positive,Negative,Positive,,,,,Negative,Negative,Yes,Coinfection,9.096952448
B12.P1,CA1P17,N2,N1_N3,N1_N2,NA,Capira,Pasture,Capira,Mix,Yes,Yes,Yes,No,Four,Bird,Piranga,Metachirus,Human,Mus,NA,Negative,Negative,Negative,Negative,May-25-2022,,,Negative,Negative,No,Negative,7.591144248
B12.P2,HN9,N2,N1_N3,N1_N2,NA,La Chorrera,Peridomestic,La Chorrera,Mammal,No,Yes,No,No,One,Mammal,Philander,NA,NA,NA,NA,Positive,Positive,Positive,Negative,May-6-2022,,,Negative,Negative,Yes,Coinfection,5.342043437
